name,phone,address,types,rating,reviews,lead_score,source,pitch_note,place_id,website
Talindo Steak House,,"7B, Karimu Kotun Street, Lagos",restaurant,,,10,openstreetmap,"Hi, I noticed Talindo Steak House doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_4716873592,
Sultans Pizza & Fast Food,,"41, Ribadu Road, Lagos",restaurant,,,10,openstreetmap,"Hi, I noticed Sultans Pizza & Fast Food doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_4729314593,
Banana Island Patisserie,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Banana Island Patisserie doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_4750411024,
Chicken Republic,,Lagos,fast_food,,,10,openstreetmap,"Hi, I noticed Chicken Republic doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_4781798316,
Glover Court Suya,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Glover Court Suya doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_4946299659,
1415 Italian Restaurant,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed 1415 Italian Restaurant doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_4946299672,
Kuramo Sports Cafe,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Kuramo Sports Cafe doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_4946299673,
The Sky Restaruant,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed The Sky Restaruant doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_4946299674,
Red Restaurant,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Red Restaurant doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_4946299675,
Crossroads Tex-Mex,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Crossroads Tex-Mex doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5108265574,
Lagoon Restaurant,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Lagoon Restaurant doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5108265855,
Marcelino's Pastry Shop,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Marcelino's Pastry Shop doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5108265856,
Basilico Italian,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Basilico Italian doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5108265863,
La Veranda,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed La Veranda doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5141633783,
Amazon Spur Steak Ranch,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Amazon Spur Steak Ranch doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5142960822,
Voyage Restaurant,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Voyage Restaurant doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5144668732,
Yin Yang Express,,Lagos,fast_food,,,10,openstreetmap,"Hi, I noticed Yin Yang Express doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5154214232,
Fab Juice Bar,,Lagos,fast_food,,,10,openstreetmap,"Hi, I noticed Fab Juice Bar doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5154214234,
Cafe Neo @ Landmark,,Lagos,cafe,,,10,openstreetmap,"Hi, I noticed Cafe Neo @ Landmark doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5160398201,
Cafè Neo @ fourteen36,,Lagos,cafe,,,10,openstreetmap,"Hi, I noticed Cafè Neo @ fourteen36 doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5160398210,
Spice Bowl,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Spice Bowl doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5184438463,
HotPot,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed HotPot doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5184439052,
SoHo Restaurant,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed SoHo Restaurant doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5218637316,
Milano Restaurant,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Milano Restaurant doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5218637317,
Da Vinci Bar & Restaurant,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Da Vinci Bar & Restaurant doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5218637318,
The Grill Room,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed The Grill Room doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5218637319,
Saraya Deli,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Saraya Deli doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5218637320,
La Giara Restaurant,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed La Giara Restaurant doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5231558257,
CUT Steakhouse,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed CUT Steakhouse doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5231558375,
Iyeru Okin,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Iyeru Okin doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5238498831,
Choco-Latte,,Lagos,cafe,,,10,openstreetmap,"Hi, I noticed Choco-Latte doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5238498832,
Bonjour Bakery,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Bonjour Bakery doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5241138913,
88,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed 88 doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5243385082,
Lobby Café,,Lagos,cafe,,,10,openstreetmap,"Hi, I noticed Lobby Café doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5243385167,
Debonairs Pizza,,Lagos,fast_food,,,10,openstreetmap,"Hi, I noticed Debonairs Pizza doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5246332243,
Harzoyka Restaurant,,"Oduduwa Cresent, Lagos",restaurant,,,10,openstreetmap,"Hi, I noticed Harzoyka Restaurant doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5257055421,
Bistro 7 Express,,Lagos,fast_food,,,10,openstreetmap,"Hi, I noticed Bistro 7 Express doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5325724230,
Schwarma Co,,Lagos,fast_food,,,10,openstreetmap,"Hi, I noticed Schwarma Co doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5325724231,
Sherlaton,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Sherlaton doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5645791721,
My Coffee House,,Lagos,cafe,,,10,openstreetmap,"Hi, I noticed My Coffee House doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5647946287,
Krispy Kreme,,Lagos,cafe,,,10,openstreetmap,"Hi, I noticed Krispy Kreme doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5649291418,
Shawarma & Co,,Lagos,fast_food,,,10,openstreetmap,"Hi, I noticed Shawarma & Co doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5649292323,
Mugg & Bean,,Lagos,cafe,,,10,openstreetmap,"Hi, I noticed Mugg & Bean doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5649292326,
Casper & Gambini's,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Casper & Gambini's doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5649292330,
Marco Polo Express,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Marco Polo Express doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5649641156,
Papaz,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Papaz doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5665787421,
Peppercorn Avenue,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Peppercorn Avenue doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5777682234,
Cafe Neo,,"11, Commercial Avenue, Lagos",cafe,,,10,openstreetmap,"Hi, I noticed Cafe Neo doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_5781683230,
B.L. Restaurant,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed B.L. Restaurant doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_6033848803,
Kingston Joe,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Kingston Joe doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_6137339403,
Pumpkin Leaf,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Pumpkin Leaf doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_6146218727,
Pizza Hut,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Pizza Hut doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_6173422204,
Mr Bigg's,,Lagos,fast_food,,,10,openstreetmap,"Hi, I noticed Mr Bigg's doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_6967294249,
Palmtree Bakery Services,,Lagos,bakery,,,10,openstreetmap,"Hi, I noticed Palmtree Bakery Services doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_6967737951,
Ita baale,,"Raimi Street, Lagos",fast_food,,,10,openstreetmap,"Hi, I noticed Ita baale doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_6973195670,
Tastee,,Lagos,fast_food,,,10,openstreetmap,"Hi, I noticed Tastee doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_6997541334,
Tantataste,,Lagos,fast_food,,,10,openstreetmap,"Hi, I noticed Tantataste doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_7001088765,
Stories Lagos,,"19, Da-Silva Street, Lagos",restaurant,,,10,openstreetmap,"Hi, I noticed Stories Lagos doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_7116862051,
LKC,,Lagos,fast_food,,,10,openstreetmap,"Hi, I noticed LKC doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_7267104701,
Food House,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Food House doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_7286930391,
Lagos Tea House,,Lagos,cafe,,,10,openstreetmap,"Hi, I noticed Lagos Tea House doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_7424609862,
Chicken King,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Chicken King doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_7500803765,
Delis Coffee Shop,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Delis Coffee Shop doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_9248888854,
Craft Gourmet,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Craft Gourmet doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_9248888868,
La Brioche,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed La Brioche doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_9248888869,
Domino’s pizza,,Lagos,fast_food,,,10,openstreetmap,"Hi, I noticed Domino’s pizza doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_9686362599,
Pandix HuB,,Lagos,fast_food,,,10,openstreetmap,"Hi, I noticed Pandix HuB doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_10127865628,
Miss_ini_spicy,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Miss_ini_spicy doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_11121934210,
Mama Vero,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Mama Vero doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_11121934217,
Sapphire Taste,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Sapphire Taste doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_11121934220,
Wolewajeun,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Wolewajeun doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_11121943204,
Burger King,,Lagos,fast_food,,,10,openstreetmap,"Hi, I noticed Burger King doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_11941737848,
Sumptuous eatery & mini restaurant,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Sumptuous eatery & mini restaurant doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_12281469938,
Mama T food canteen,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Mama T food canteen doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_12281469939,
"D,dots",,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed D,dots doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_12281469940,
Olori enny,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Olori enny doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_12281469941,
mini delight,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed mini delight doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_12281469942,
Naina Food Canteen,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Naina Food Canteen doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_12281469943,
Temptation fast_food,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Temptation fast_food doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_12281469944,
Spog,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Spog doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_12281469945,
delite cravings,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed delite cravings doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_12281469946,
Manna kitchen,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Manna kitchen doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_12281469947,
AMY,,Lagos,bakery,,,10,openstreetmap,"Hi, I noticed AMY doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_12281594029,
Groda Confectionery,,Lagos,bakery,,,10,openstreetmap,"Hi, I noticed Groda Confectionery doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_12281594033,
Labico bakery,,Lagos,bakery,,,10,openstreetmap,"Hi, I noticed Labico bakery doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_12282795079,
